comment_text,original_line,field_count,clean_text,sentiment,confidence,topic,emotions,anger,disgust,fear,joy,neutral,sadness,surprise,anger_linguistic,disgust_linguistic,fear_linguistic,joy_linguistic,neutral_linguistic,sadness_linguistic,surprise_linguistic,anger_sentence_count,disgust_sentence_count,fear_sentence_count,joy_sentence_count,neutral_sentence_count,sadness_sentence_count,surprise_sentence_count,dominant_emotion
@stephendotson9255,1039,7,stephendotson,neutral,0.7651647329330444,7,"{'anger': 0.006572747603058815, 'disgust': 0.004475526977330446, 'fear': 0.003980665467679501, 'joy': 0.022236816585063934, 'neutral': 0.8753310441970825, 'sadness': 0.029401812702417374, 'surprise': 0.05800137296319008}",0.006572747603058815,0.004475526977330446,0.003980665467679501,0.022236816585063934,0.8753310441970825,0.029401812702417374,0.05800137296319008,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
it is dangerous when it becomes an ideology,1052,3,dangerous becomes ideology,negative,0.8342175483703613,2,"{'anger': 0.08373819291591644, 'disgust': 0.01926734670996666, 'fear': 0.8281140327453613, 'joy': 0.0036712693981826305, 'neutral': 0.04939500242471695, 'sadness': 0.010625986382365227, 'surprise': 0.005188168492168188, 'fear_linguistic': 2.0, 'fear_sentence_count': 1}",0.08373819291591644,0.01926734670996666,0.8281140327453613,0.0036712693981826305,0.04939500242471695,0.010625986382365227,0.005188168492168188,0.0,0,2.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,fear
@Bainbridge007,1054,7,bainbridge,neutral,0.8942795991897583,1,"{'anger': 0.01324344240128994, 'disgust': 0.00842097494751215, 'fear': 0.007993267849087715, 'joy': 0.03374125808477402, 'neutral': 0.790518581867218, 'sadness': 0.06999233365058899, 'surprise': 0.07609012722969055}",0.01324344240128994,0.00842097494751215,0.007993267849087715,0.03374125808477402,0.790518581867218,0.06999233365058899,0.07609012722969055,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
@cashbrooks6375,1055,7,cashbrooks,neutral,0.7570798397064209,-1,"{'anger': 0.013101857155561447, 'disgust': 0.005644472315907478, 'fear': 0.005707215517759323, 'joy': 0.033411335200071335, 'neutral': 0.7778756618499756, 'sadness': 0.063009113073349, 'surprise': 0.1012503057718277}",0.013101857155561447,0.005644472315907478,0.005707215517759323,0.033411335200071335,0.7778756618499756,0.063009113073349,0.1012503057718277,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
"consequences and respect.,,XlnspY2wOVw",1066,2,consequences respectxlnspywovw,neutral,0.8017721176147461,0,"{'anger': 0.36170774698257446, 'disgust': 0.07047063857316971, 'fear': 0.0075323982164263725, 'joy': 0.004074936266988516, 'neutral': 0.3215867578983307, 'sadness': 0.2151356190443039, 'surprise': 0.019491910934448242, 'love_linguistic': 1.0, 'love_sentence_count': 1}",0.36170774698257446,0.07047063857316971,0.0075323982164263725,0.004074936266988516,0.3215867578983307,0.2151356190443039,0.019491910934448242,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,anger
"that wasn't the reason they back away from it at first.,,XlnspY2wOVw",1069,2,wasnt reason back away firstxlnspywovw,neutral,0.5631069540977478,3,"{'anger': 0.007539433892816305, 'disgust': 0.0028184938710182905, 'fear': 0.0053220344707369804, 'joy': 0.006361749954521656, 'neutral': 0.23815025389194489, 'sadness': 0.3271280527114868, 'surprise': 0.4126800000667572}",0.007539433892816305,0.0028184938710182905,0.0053220344707369804,0.006361749954521656,0.23815025389194489,0.3271280527114868,0.4126800000667572,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,surprise
@switcharue5208,1085,7,switcharue,neutral,0.7349463105201721,0,"{'anger': 0.020524347200989723, 'disgust': 0.007319708354771137, 'fear': 0.008250284008681774, 'joy': 0.014648075215518475, 'neutral': 0.8053596019744873, 'sadness': 0.03220624849200249, 'surprise': 0.1116916611790657}",0.020524347200989723,0.007319708354771137,0.008250284008681774,0.014648075215518475,0.8053596019744873,0.03220624849200249,0.1116916611790657,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
@christopherdessources,1086,7,christopherdessources,neutral,0.8106729984283447,5,"{'anger': 0.005293947644531727, 'disgust': 0.002652521710842848, 'fear': 0.0027850994374603033, 'joy': 0.012213661335408688, 'neutral': 0.8959316611289978, 'sadness': 0.027626095339655876, 'surprise': 0.05349701642990112}",0.005293947644531727,0.002652521710842848,0.0027850994374603033,0.012213661335408688,0.8959316611289978,0.027626095339655876,0.05349701642990112,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
@Dragon34th,1097,7,dragonth,neutral,0.5951690077781677,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,anger
@hayleyhellbound9513,1107,7,hayleyhellbound,neutral,0.8443347811698914,-1,"{'anger': 0.0024270890280604362, 'disgust': 0.0007794427801854908, 'fear': 0.0025263172574341297, 'joy': 0.04920429363846779, 'neutral': 0.7985076308250427, 'sadness': 0.0427478589117527, 'surprise': 0.10380728542804718}",0.0024270890280604362,0.0007794427801854908,0.0025263172574341297,0.04920429363846779,0.7985076308250427,0.0427478589117527,0.10380728542804718,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
